	Threshold	Precision	Recall	f1_score
340.0	0.974395215511322	0.9537037037037037	0.6477987421383647	0.7715355805243445
341.0	0.9744547009468079	0.9532710280373832	0.6496815286624203	0.7727272727272726
342.0	0.9750219583511353	0.9528301886792453	0.6516129032258065	0.7739463601532566
343.0	0.9753474593162537	0.9523809523809523	0.6535947712418301	0.7751937984496123
344.0	0.975857675075531	0.9519230769230769	0.6513157894736842	0.7734374999999999
345.0	0.9762127995491028	0.9514563106796117	0.6533333333333333	0.774703557312253
346.0	0.976263165473938	0.9509803921568627	0.6510067114093959	0.7729083665338645
347.0	0.9771236181259155	0.9504950495049505	0.6486486486486487	0.7710843373493975
348.0	0.9774054884910583	0.95	0.6462585034013606	0.7692307692307693
349.0	0.9774184823036194	0.9494949494949495	0.6438356164383562	0.7673469387755102
350.0	0.9779493808746338	0.9489795918367347	0.6458333333333334	0.768595041322314
351.0	0.9781305193901062	0.9484536082474226	0.6433566433566433	0.7666666666666666
352.0	0.9788628816604614	0.9479166666666666	0.6453900709219859	0.7679324894514769
353.0	0.9791497588157654	0.9473684210526315	0.6474820143884892	0.7692307692307693
354.0	0.979195773601532	0.9468085106382979	0.644927536231884	0.7672413793103448
355.0	0.9793455004692078	0.946236559139785	0.6423357664233577	0.7652173913043477
356.0	0.979422926902771	0.9456521739130435	0.6444444444444445	0.7665198237885463
357.0	0.9797619581222534	0.945054945054945	0.6466165413533834	0.7678571428571428
358.0	0.9797625541687012	0.9444444444444444	0.648854961832061	0.7692307692307693
359.0	0.9798548817634583	0.9438202247191011	0.6511627906976745	0.7706422018348624
360.0	0.9798586964607239	0.9431818181818182	0.6535433070866141	0.772093023255814
361.0	0.9804648160934448	0.9425287356321839	0.6507936507936508	0.7699530516431926
362.0	0.9804928302764893	0.9418604651162791	0.6532258064516129	0.7714285714285714
363.0	0.9807043075561523	0.9411764705882353	0.6557377049180327	0.7729468599033815
364.0	0.9811442494392395	0.9404761904761905	0.6528925619834711	0.7707317073170733
365.0	0.9813739061355591	0.9397590361445783	0.6554621848739496	0.7722772277227723
366.0	0.9813823699951172	0.9390243902439024	0.652542372881356	0.77
367.0	0.9817999005317688	0.9382716049382716	0.6495726495726496	0.7676767676767675
368.0	0.9819790124893188	0.9375	0.646551724137931	0.7653061224489797
369.0	0.9820345044136047	0.9367088607594937	0.6434782608695652	0.7628865979381443
370.0	0.9820456504821777	0.9358974358974359	0.6460176991150443	0.7643979057591622
371.0	0.9821329712867737	0.935064935064935	0.6428571428571429	0.761904761904762
372.0	0.9824448227882385	0.9342105263157895	0.6454545454545455	0.7634408602150539
373.0	0.9825159907341003	0.9333333333333333	0.6481481481481481	0.7650273224043717
374.0	0.9827404022216797	0.9324324324324325	0.6509433962264151	0.7666666666666666
